City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Salinopolis,BR,85.03,scattered clouds,-0.61,-47.36,Hotel Salinópolis
3,Luanda,AO,75.2,few clouds,-8.84,13.23,EPIC SANA Luanda
12,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
13,Gat,IL,88.0,clear sky,31.61,34.76,רגע בנחת
14,Cabo San Lucas,MX,82.99,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
15,Asau,RO,82.4,scattered clouds,46.43,26.4,Casa Mika Ciobanus
18,Celina,US,79.0,clear sky,40.55,-84.57,Americas Best Value Inn Celina
19,Itamaraca,BR,84.2,scattered clouds,-7.75,-34.83,Special K's Bed & Breakfast
20,Mahina,PF,75.2,shower rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
22,Malegaon,IN,77.65,overcast clouds,20.55,74.53,Dinesh Lodge
28,Jamestown,US,79.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
29,Faya,SA,86.0,broken clouds,18.39,42.45,مقبرة ال مجمل
33,Lufkin,US,89.01,clear sky,31.34,-94.73,Courtyard by Marriott Lufkin
34,Beloostrov,RU,75.0,clear sky,60.15,30.0,Kapitan Flint Hotel
39,San Andres,CO,84.2,scattered clouds,12.58,-81.7,Hotel Arena Blanca
45,Lamesa,US,84.2,overcast clouds,32.74,-101.95,Shiloh Inn Lamesa
48,Betanzos,ES,75.2,few clouds,43.28,-8.21,Hotel Garelos Betanzos
51,Ponta Do Sol,PT,77.0,broken clouds,32.67,-17.1,Hotel do Campo
55,Belmonte,BR,78.8,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
57,Hithadhoo,MV,83.32,broken clouds,-0.6,73.08,Scoop Guest House
58,Atuona,PF,78.42,light rain,-9.8,-139.03,Villa Enata
59,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
61,Bellefontaine,US,77.0,clear sky,40.36,-83.76,Super 8 by Wyndham Bellefontaine
65,Cancun,MX,80.01,moderate rain,21.17,-86.85,Hotel Tankah Cancun
74,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
79,Roma,US,78.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
81,Menongue,AO,85.03,overcast clouds,-14.66,17.69,Ritz Lauca
82,Dubreka,GN,78.8,broken clouds,9.79,-13.52,Hôtel le Semeur Chez Eva
84,Faanui,PF,77.63,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Saint-Denis,FR,84.99,broken clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
88,Butaritari,KI,82.17,overcast clouds,3.07,172.79,Isles Sunset Lodge
92,Canutama,BR,88.56,few clouds,-6.53,-64.38,Hotel Jhennifer
93,Adeje,ES,84.2,few clouds,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
101,Akyab,MM,81.28,light rain,20.15,92.9,Hotel Memory
104,Galle,LK,80.29,overcast clouds,6.04,80.22,CocoBay Unawatuna
106,Rumonge,BI,78.22,broken clouds,-3.97,29.44,Iratiro Tours
108,Mae Tha,TH,78.8,light rain,18.46,99.14,บ้านชัยกาวิล
109,Nikolskoye,RU,75.2,few clouds,59.7,30.79,Tourist House - Sablino
111,Vrises,GR,84.99,few clouds,35.49,23.89,Minoa Palace Resort
113,Pitimbu,BR,84.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
116,Guerrero Negro,MX,88.05,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
126,Immokalee,US,90.0,clear sky,26.42,-81.42,Seminole Casino Hotel Immokalee
127,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
129,Mumford,GH,76.62,broken clouds,5.26,-0.76,Spanish Villa
132,Saint-Francois,FR,89.6,few clouds,46.42,3.91,Manoir Du Bonheur
134,Sola,VU,78.8,scattered clouds,-13.88,167.55,Leumerus Bungalows
136,Shahpura,IN,82.4,haze,27.38,75.97,Shahpura Haveli
141,Fare,PF,77.68,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
143,Englewood,US,82.0,few clouds,39.65,-104.99,InTown Suites Extended Stay Denver CO - Englewood
145,Amposta,ES,86.0,clear sky,40.71,0.58,Hotel Hcc Montsià
148,Bubaque,GW,79.65,moderate rain,11.28,-15.83,Casa Dora
149,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
156,Elbistan,TR,75.61,overcast clouds,38.21,37.2,Sword Hotel
159,Eydhafushi,MV,83.28,overcast clouds,5.1,73.07,Soneva Fushi
164,Katsuura,JP,82.0,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
166,Dutse,NG,79.21,overcast clouds,11.76,9.34,Kaci
167,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
168,Lata,PT,84.0,overcast clouds,40.16,-8.33,Casa Maquia
172,Saint-Georges,GD,87.8,scattered clouds,12.06,-61.75,Siesta Hotel
175,Palmer,US,82.99,scattered clouds,42.16,-72.33,Wedgewood Motel
182,Mao,ES,82.4,broken clouds,39.89,4.27,ARTIEM Capri
184,Yibin,CN,78.28,light rain,28.77,104.62,Handsome Guesthouse
185,Tiarei,PF,75.2,shower rain,-17.53,-149.33,Le Rocher de Tahiti
186,San Pedro,PH,81.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
187,Nisporeni,MD,84.2,clear sky,47.08,28.18,Hotel Prietenia
193,Champerico,GT,86.0,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
197,Acarau,BR,89.15,few clouds,-2.89,-40.12,castelo pizzaria
199,Santa Rosa,PH,81.0,overcast clouds,14.31,121.11,Amethyst Econotel
204,Soyo,AO,80.6,few clouds,-6.13,12.37,Hotel Mpampa
206,Gasa,PS,88.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
207,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
208,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
210,Sabang,ID,84.2,overcast clouds,5.89,95.32,Hotel Citra
211,Aksu,CN,77.76,clear sky,41.12,80.26,Pudong Holiday Hotel
213,Labuhan,ID,79.11,broken clouds,-6.88,112.21,bador sepret
214,Salalah,OM,78.8,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
218,Namatanai,PG,79.05,few clouds,-3.67,152.43,Namatanai Hotel
219,Shenjiamen,CN,80.51,few clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
220,Bethlehem,BR,86.0,scattered clouds,-1.46,-48.5,Mercure Belém Boulevard Hotel
221,Shimoda,JP,75.0,clear sky,34.67,138.95,Shimoda Tokyu Hotel
222,Touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
223,Pangai,TO,77.16,few clouds,-19.8,-174.35,Ha'apai Beach Resort
226,Dwarka,IN,82.58,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
228,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
233,Riohacha,CO,88.5,broken clouds,11.54,-72.91,Hotel Taroa
242,Bull Savanna,JM,84.52,broken clouds,17.89,-77.59,Big Red's
245,Muli,MV,84.0,broken clouds,2.92,73.57,Medhufushi Island Resort
248,Berea,US,81.0,scattered clouds,41.37,-81.85,Comfort Inn Cleveland Airport
250,Catio,GW,79.92,moderate rain,11.28,-15.25,Pausada Morabedja
251,San Patricio,MX,87.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
252,Port Blair,IN,82.42,overcast clouds,11.67,92.75,Fortune Resort Bay Island
255,Lorengau,PG,82.85,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
258,Prenzlau,DE,90.0,broken clouds,53.32,13.87,Hotel Overdiek
264,San Quintin,MX,78.15,broken clouds,30.48,-115.95,Old Mill Hotel
266,Greeley,US,81.0,clear sky,40.42,-104.71,Fairfield Inn & Suites by Marriott Greeley
267,Numbrecht,DE,81.0,few clouds,50.9,7.55,Hotel Derichsweiler Hof
269,Maceio,BR,78.8,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
271,Romitan,UZ,80.6,clear sky,39.93,64.38,Hotel Temur
272,Na Klang,TH,75.54,light rain,17.31,102.19,สะแกทองรีสอร์ท
274,Hami,CN,81.52,broken clouds,42.8,93.45,Laoyutang Resort
280,Saint Anthony,US,81.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
282,Cabras,IT,88.07,clear sky,39.93,8.53,Hotel Villa Canu
283,Bengkulu,ID,77.36,light rain,-3.8,102.27,Grage Hotel Bengkulu
284,Hasaki,JP,77.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
285,Karwar,IN,78.8,moderate rain,14.8,74.13,Netalco Connects
288,Ribeira Brava,PT,77.0,broken clouds,32.65,-17.07,Hotel do Campo
289,Corinth,GR,87.01,clear sky,37.94,22.96,Ephira Hotel
291,Sibu,MY,80.6,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
294,Morwa,IN,78.48,light rain,22.9,73.83,Morva
296,Kavieng,PG,82.08,clear sky,-2.57,150.8,Nusa Island Retreat
297,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
298,Tutoia,BR,86.27,few clouds,-2.76,-42.27,Pousada Guará's
299,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
303,Kribi,CM,77.68,overcast clouds,2.95,9.92,Les Vagues bleues
305,Hambantota,LK,80.6,scattered clouds,6.12,81.12,Bungalow 63
306,Samarai,PG,76.87,overcast clouds,-10.62,150.67,Nuli Sapi
310,Paralimni,CY,89.6,few clouds,35.04,33.98,Amore Hotel Apartments
311,Buala,SB,80.33,few clouds,-8.14,159.59,Maringe Lagoon Lodge
312,Weligama,LK,79.7,overcast clouds,5.97,80.42,Weligama Bay Resort
318,Carora,VE,88.45,scattered clouds,10.18,-70.08,Hotel Irpinia
322,Mporokoso,ZM,77.29,broken clouds,-9.37,30.12,Fairview Home Lodge
323,Amahai,ID,77.47,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
324,Schuttorf,DE,84.99,broken clouds,52.32,7.23,Hotel Restaurant Nickisch
326,Pochutla,MX,80.6,overcast clouds,15.74,-96.47,Hotel Posada San Jose
330,Comana,RO,90.0,clear sky,44.17,26.14,Casa Diana
331,Kirando,TZ,80.02,scattered clouds,-7.42,30.6,Lakeshore Lodge
334,Tigzirt,DZ,85.89,clear sky,36.89,4.12,Appartement de la plage
336,Danane,CI,84.13,broken clouds,7.26,-8.15,Hotel du marché
340,Korla,CN,82.0,clear sky,41.76,86.15,Gulisitan Hotel
342,Shingu,JP,76.57,clear sky,33.73,135.98,Shingu UI Hotel
343,Barcelos,PT,77.0,few clouds,41.54,-8.62,Hotel Do Terço
344,Lamu,KE,76.08,overcast clouds,-2.27,40.9,Lamu House
346,Puri,IN,82.4,thunderstorm,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
350,Khairagarh,IN,84.2,scattered clouds,26.95,77.82,Saleem Bhai Fruit Co.
351,Axim,GH,77.81,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
