City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
0,Mataura,-46.19,168.86,46.0,97,96,1.99,light rain,NZ
1,Salinopolis,-0.61,-47.36,85.03,67,43,11.21,scattered clouds,BR
2,Pevek,69.7,170.31,38.48,88,100,3.47,overcast clouds,RU
3,Luanda,-8.84,13.23,75.2,83,20,9.17,few clouds,AO
4,Ancud,-41.87,-73.82,48.0,100,90,3.36,overcast clouds,CL
5,Port Elizabeth,-33.92,25.57,60.8,77,0,3.36,clear sky,ZA
6,Barrow,71.29,-156.79,44.6,93,90,9.17,fog,US
7,East London,-33.02,27.91,62.31,60,0,5.86,clear sky,ZA
8,Codrington,-38.27,141.97,46.6,81,84,21.99,moderate rain,AU
9,Vestmannaeyjar,63.44,-20.27,53.6,76,38,17.22,scattered clouds,IS
10,Albany,42.6,-73.97,81.0,55,0,5.26,clear sky,US
11,Fortuna,40.6,-124.16,69.8,73,40,1.14,scattered clouds,US
12,Puerto Ayora,-0.74,-90.35,75.2,53,75,18.34,broken clouds,EC
13,Gat,31.61,34.76,88.0,47,0,8.57,clear sky,IL
14,Cabo San Lucas,22.89,-109.91,82.99,94,75,4.7,broken clouds,MX
15,Asau,46.43,26.4,82.4,48,49,9.17,scattered clouds,RO
16,Rikitea,-23.12,-134.97,65.35,69,0,22.86,clear sky,PF
17,Bluff,-46.6,168.33,46.0,97,89,1.99,light rain,NZ
18,Celina,40.55,-84.57,79.0,60,1,1.95,clear sky,US
19,Itamaraca,-7.75,-34.83,84.2,66,40,14.99,scattered clouds,BR
20,Mahina,-17.51,-149.49,75.2,78,40,3.36,shower rain,PF
21,Busselton,-33.65,115.33,51.01,71,100,5.88,overcast clouds,AU
22,Malegaon,20.55,74.53,77.65,79,100,14.92,overcast clouds,IN
23,Hilo,19.73,-155.09,73.4,88,90,4.7,light rain,US
24,Ushuaia,-54.8,-68.3,44.6,65,75,4.7,broken clouds,AR
25,Chokurdakh,70.63,147.92,35.8,93,98,7.07,overcast clouds,RU
26,Bredasdorp,-34.53,20.04,60.8,77,0,3.36,clear sky,ZA
27,Lompoc,34.64,-120.46,60.8,82,90,7.85,overcast clouds,US
28,Jamestown,42.1,-79.24,79.0,56,1,8.05,clear sky,US
29,Faya,18.39,42.45,86.0,73,75,5.82,broken clouds,SA
30,Ilulissat,69.22,-51.1,48.2,49,20,4.7,few clouds,GL
31,Vagur,61.47,-6.81,53.53,93,100,22.93,overcast clouds,FO
32,New Norfolk,-42.78,147.06,36.0,88,16,2.17,few clouds,AU
33,Lufkin,31.34,-94.73,89.01,45,1,3.36,clear sky,US
34,Beloostrov,60.15,30.0,75.0,64,0,2.46,clear sky,RU
35,Taoudenni,22.68,-3.98,115.79,5,13,15.43,few clouds,ML
36,Saint-Philippe,-21.36,55.77,68.0,64,75,4.7,broken clouds,RE
37,Nanortalik,60.14,-45.24,49.15,63,0,4.59,clear sky,GL
38,Bridlington,54.08,-0.19,68.0,64,87,24.16,overcast clouds,GB
39,San Andres,12.58,-81.7,84.2,79,40,4.7,scattered clouds,CO
40,Lebu,-37.62,-73.65,54.27,68,0,15.66,clear sky,CL
41,Iqaluit,63.75,-68.51,50.0,76,75,5.82,broken clouds,CA
42,Avarua,-21.21,-159.78,73.4,88,14,13.87,few clouds,CK
43,Zhigansk,66.77,123.37,40.55,73,0,14.43,clear sky,RU
44,Carnarvon,-24.87,113.63,59.0,93,0,6.93,clear sky,AU
45,Lamesa,32.74,-101.95,84.2,37,90,16.11,overcast clouds,US
46,Maneromango,-7.2,38.78,80.6,65,40,13.87,scattered clouds,TZ
47,Hobart,-42.88,147.33,37.4,86,90,8.05,overcast clouds,AU
48,Betanzos,43.28,-8.21,75.2,41,20,13.87,few clouds,ES
49,Yellowknife,62.46,-114.35,53.01,71,40,11.41,scattered clouds,CA
50,Henties Bay,-22.12,14.28,72.0,37,16,5.01,few clouds,NA
51,Ponta Do Sol,32.67,-17.1,77.0,81,64,6.44,broken clouds,PT
52,Caravelas,-17.71,-39.25,71.64,89,100,2.37,light rain,BR
53,Khatanga,71.97,102.5,45.14,60,0,15.21,clear sky,RU
54,Beloha,-25.17,45.05,65.68,64,99,10.25,overcast clouds,MG
55,Belmonte,-15.86,-38.88,78.8,69,75,9.17,broken clouds,BR
56,Necochea,-38.55,-58.74,60.01,39,0,7.0,clear sky,AR
57,Hithadhoo,-0.6,73.08,83.32,78,75,12.66,broken clouds,MV
58,Atuona,-9.8,-139.03,78.42,79,4,17.78,light rain,PF
59,Bathsheba,13.22,-59.52,87.8,70,40,17.22,scattered clouds,BB
60,Flinders,-34.58,150.86,51.01,61,73,8.01,broken clouds,AU
61,Bellefontaine,40.36,-83.76,77.0,53,1,3.4,clear sky,US
62,Channel-Port Aux Basques,47.57,-59.14,64.9,72,39,15.17,scattered clouds,CA
63,Torbay,47.67,-52.73,70.0,52,40,24.16,scattered clouds,CA
64,Fairbanks,64.84,-147.72,51.01,100,90,1.54,mist,US
65,Cancun,21.17,-86.85,80.01,100,75,3.36,moderate rain,MX
66,Pacific Grove,36.62,-121.92,66.2,72,90,3.36,haze,US
67,Cape Town,-33.93,18.42,64.0,55,0,6.93,clear sky,ZA
68,Longyearbyen,78.22,15.64,44.6,75,75,11.41,broken clouds,SJ
69,Tevriz,57.51,72.4,53.96,96,68,3.51,light rain,RU
70,Macklin,52.33,-109.93,55.54,88,97,10.51,overcast clouds,CA
71,San Juan Bautista,-14.01,-75.74,61.0,87,90,6.93,mist,PE
72,Santo Augusto,-27.85,-53.78,50.0,43,0,10.29,clear sky,BR
73,Kondopoga,62.21,34.26,73.4,56,0,2.24,clear sky,RU
74,Kapaa,22.08,-159.32,78.8,78,90,14.99,light rain,US
75,Hermanus,-34.42,19.23,59.0,78,0,1.99,clear sky,ZA
76,Kodiak,57.79,-152.41,57.92,72,1,6.31,clear sky,US
77,Murmashi,68.82,32.81,60.8,93,40,4.47,scattered clouds,RU
78,Arraial Do Cabo,-22.97,-42.03,69.8,77,90,18.34,overcast clouds,BR
79,Roma,43.21,-75.46,78.8,54,1,9.17,clear sky,US
80,Punta Arenas,-53.15,-70.92,46.4,70,75,20.8,broken clouds,CL
81,Menongue,-14.66,17.69,85.03,11,95,5.91,overcast clouds,AO
82,Dubreka,9.79,-13.52,78.8,94,75,4.7,broken clouds,GN
83,Birao,10.28,22.79,74.26,94,90,5.66,heavy intensity rain,CF
84,Faanui,-16.48,-151.75,77.63,79,9,23.89,light rain,PF
85,Saint-Denis,48.92,2.33,84.99,35,58,18.34,broken clouds,FR
86,Grindavik,63.84,-22.43,59.0,54,0,14.99,clear sky,IS
87,Gladstone,-23.85,151.25,57.2,71,0,5.82,clear sky,AU
88,Butaritari,3.07,172.79,82.17,66,100,4.41,overcast clouds,KI
89,Valparaiso,-33.04,-71.63,57.2,62,0,5.82,clear sky,CL
90,Saint George,37.1,-113.58,91.0,19,1,3.38,clear sky,US
91,Thompson,55.74,-97.86,59.0,82,75,11.41,light intensity shower rain,CA
92,Canutama,-6.53,-64.38,88.56,36,17,6.49,few clouds,BR
93,Adeje,28.12,-16.73,84.2,58,20,14.99,few clouds,ES
94,Adrar,20.5,-10.07,104.02,19,47,11.05,scattered clouds,MR
95,Den Helder,52.96,4.76,72.0,64,0,25.28,clear sky,NL
96,Vaini,-21.2,-175.2,73.4,100,75,2.24,broken clouds,TO
97,Mar Del Plata,-38.0,-57.56,62.6,36,0,11.41,clear sky,AR
98,Shakiso,5.75,38.92,61.66,85,64,3.11,broken clouds,ET
99,Lagoa,39.05,-27.98,69.13,63,99,5.64,overcast clouds,PT
100,Chuy,-33.7,-53.46,54.61,49,0,10.71,clear sky,UY
101,Akyab,20.15,92.9,81.28,85,100,6.82,light rain,MM
102,Provideniya,64.38,-173.3,49.78,94,100,7.56,light rain,RU
103,Severodvinsk,64.56,39.83,68.0,77,1,2.24,clear sky,RU
104,Galle,6.04,80.22,80.29,85,99,10.56,overcast clouds,LK
105,Weihe,33.0,105.32,65.23,90,92,2.98,light rain,CN
106,Rumonge,-3.97,29.44,78.22,60,63,5.64,broken clouds,BI
107,Upernavik,72.79,-56.15,46.27,63,100,9.33,overcast clouds,GL
108,Mae Tha,18.46,99.14,78.8,94,75,1.12,light rain,TH
109,Nikolskoye,59.7,30.79,75.2,44,19,6.71,few clouds,RU
110,Alyangula,-13.85,136.42,60.8,100,1,5.82,clear sky,AU
111,Vrises,35.49,23.89,84.99,61,20,10.29,few clouds,GR
112,Shirokiy,49.76,129.52,57.79,86,15,5.59,few clouds,RU
113,Pitimbu,-7.47,-34.81,84.2,66,75,17.22,broken clouds,BR
114,Baykit,61.67,96.37,55.92,68,94,1.79,overcast clouds,RU
115,Umtata,-31.59,28.78,57.2,58,0,10.29,clear sky,ZA
116,Guerrero Negro,27.98,-114.06,88.05,49,42,11.45,scattered clouds,MX
117,Port Hardy,50.7,-127.42,57.2,100,90,11.18,light rain,CA
118,Porto Murtinho,-21.7,-57.88,57.15,49,39,8.14,scattered clouds,BR
119,Luderitz,-26.65,15.16,71.51,24,0,16.2,clear sky,NA
120,Magadan,59.57,150.8,45.99,62,100,8.08,overcast clouds,RU
121,Comodoro Rivadavia,-45.87,-67.5,66.2,37,0,12.75,clear sky,AR
122,Krasnooktyabrskiy,44.93,38.37,77.0,68,97,8.9,light rain,RU
123,Melo,-32.37,-54.18,53.02,51,0,10.94,clear sky,UY
124,Castro,-24.79,-50.01,45.03,85,100,6.49,overcast clouds,BR
125,Mahebourg,-20.41,57.7,73.4,64,75,9.17,broken clouds,MU
126,Immokalee,26.42,-81.42,90.0,59,1,9.17,clear sky,US
127,Victoria,22.29,114.16,84.0,70,60,3.0,broken clouds,HK
128,Byron Bay,-28.65,153.62,55.0,76,0,6.93,clear sky,AU
129,Mumford,5.26,-0.76,76.62,84,66,13.42,broken clouds,GH
130,Tasiilaq,65.61,-37.64,50.0,57,20,9.17,few clouds,GL
131,Bambous Virieux,-20.34,57.76,73.4,64,75,9.17,broken clouds,MU
132,Saint-Francois,46.42,3.91,89.6,35,13,4.7,few clouds,FR
133,Souillac,-20.52,57.52,73.4,64,75,9.17,broken clouds,MU
134,Sola,-13.88,167.55,78.8,100,40,15.97,scattered clouds,VU
135,Tabas,33.6,56.92,102.2,11,0,4.7,clear sky,IR
136,Shahpura,27.38,75.97,82.4,83,40,2.24,haze,IN
137,Xining,36.62,101.77,62.46,72,51,1.83,broken clouds,CN
