City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,CL,2020-08-17 15:24:02,-45.58,-72.07,46.4,83,90,9.17
1,Mao,ES,2020-08-17 15:24:04,39.89,4.27,84.2,66,20,8.05
2,Miyako,JP,2020-08-17 15:24:04,39.64,141.95,72.54,88,100,1.34
3,Opuwo,NA,2020-08-17 15:24:04,-18.06,13.84,84.81,14,0,14.54
4,Mar Del Plata,AR,2020-08-17 15:19:23,-38.0,-57.56,54.0,43,0,13.87
5,Vega De Alatorre,MX,2020-08-17 15:24:04,20.03,-96.63,82.33,68,77,5.99
6,Tuatapere,NZ,2020-08-17 15:24:05,-46.13,167.68,37.0,96,93,3.0
7,Yellowknife,CA,2020-08-17 15:20:26,62.46,-114.35,57.2,67,75,6.93
8,Pevek,RU,2020-08-17 15:24:05,69.7,170.31,36.45,91,97,7.36
9,Butaritari,KI,2020-08-17 15:24:05,3.07,172.79,81.16,60,41,4.99
10,Lebu,CL,2020-08-17 15:24:05,-37.62,-73.65,49.62,71,0,4.59
11,Hermanus,ZA,2020-08-17 15:24:06,-34.42,19.23,54.0,78,97,10.0
12,Komsomolskiy,UZ,2020-08-17 15:24:06,40.43,71.72,80.6,61,95,4.7
13,Riviere-Du-Loup,CA,2020-08-17 15:23:45,47.83,-69.53,64.89,77,13,3.76
14,Hithadhoo,MV,2020-08-17 15:24:06,-0.6,73.08,84.58,70,82,6.04
15,Katsuura,JP,2020-08-17 15:24:06,35.13,140.3,84.0,88,34,5.14
16,Bilibino,RU,2020-08-17 15:24:07,68.05,166.44,36.72,89,96,5.79
17,Upernavik,GL,2020-08-17 15:24:07,72.79,-56.15,45.82,56,93,1.83
18,Klaksvik,FO,2020-08-17 15:24:07,62.23,-6.59,55.4,82,55,1.12
19,Shanhetun,CN,2020-08-17 15:24:07,44.7,127.2,70.48,95,100,9.91
20,Alofi,NU,2020-08-17 15:24:07,-19.06,-169.92,71.6,73,75,10.29
21,Lichtenfels,DE,2020-08-17 15:24:08,50.15,11.06,77.0,55,97,6.82
22,Port Elizabeth,ZA,2020-08-17 15:24:08,-33.92,25.57,62.6,29,72,6.93
23,Castro,BR,2020-08-17 15:24:08,-24.79,-50.01,67.6,78,89,2.66
24,Kailua,US,2020-08-17 15:20:48,21.4,-157.74,78.8,69,20,10.29
25,Bossangoa,CF,2020-08-17 15:24:09,6.49,17.46,82.08,83,16,2.01
26,Atuona,PF,2020-08-17 15:24:09,-9.8,-139.03,78.08,73,0,17.18
27,Albany,US,2020-08-17 15:21:05,42.6,-73.97,73.99,68,70,3.51
28,Puerto Ayora,EC,2020-08-17 15:24:09,-0.74,-90.35,69.8,73,75,12.75
29,Kapaa,US,2020-08-17 15:21:46,22.08,-159.32,75.2,83,90,8.05
30,Chicama,PE,2020-08-17 15:24:09,-7.84,-79.15,68.22,60,60,7.07
31,Bredasdorp,ZA,2020-08-17 15:24:10,-34.53,20.04,53.6,81,99,28.86
32,Mareeba,AU,2020-08-17 15:24:10,-17.0,145.43,60.8,93,2,1.25
33,Iqaluit,CA,2020-08-17 15:24:10,63.75,-68.51,42.8,93,75,5.82
34,Ushuaia,AR,2020-08-17 15:24:10,-54.8,-68.3,33.8,86,75,3.18
35,Fukue,JP,2020-08-17 15:24:11,32.69,128.84,82.96,75,0,7.99
36,Sorland,NO,2020-08-17 15:24:11,67.67,12.69,51.8,71,90,9.17
37,Geraldton,AU,2020-08-17 15:24:11,-28.77,114.6,55.4,87,90,4.7
38,New Norfolk,AU,2020-08-17 15:24:11,-42.78,147.06,50.0,96,33,2.37
39,Balkhash,KZ,2020-08-17 15:24:11,46.84,74.98,76.73,31,0,10.63
40,Labrea,BR,2020-08-17 15:24:12,-7.26,-64.8,102.51,30,4,1.68
41,Nikolskoye,RU,2020-08-17 15:24:12,59.7,30.79,66.2,48,0,8.95
42,Calella,ES,2020-08-17 15:24:12,41.62,2.67,82.0,60,75,7.0
43,Odweyne,SO,2020-08-17 15:24:12,9.41,45.06,87.64,36,59,16.71
44,Punta Arenas,CL,2020-08-17 15:24:12,-53.15,-70.92,35.6,93,75,21.92
45,Tommot,RU,2020-08-17 15:24:13,58.96,126.29,40.71,86,39,2.26
46,Cape Town,ZA,2020-08-17 15:24:13,-33.93,18.42,55.99,76,75,9.17
47,Isangel,VU,2020-08-17 15:24:13,-19.55,169.27,75.07,82,82,16.26
48,Nemuro,JP,2020-08-17 15:24:13,43.32,145.57,63.03,89,0,6.6
49,Vaini,TO,2020-08-17 15:24:13,-21.2,-175.2,69.8,77,75,11.41
50,Lompoc,US,2020-08-17 15:24:14,34.64,-120.46,66.2,93,1,1.81
51,Tocopilla,CL,2020-08-17 15:24:14,-22.09,-70.2,64.06,49,12,7.45
52,Clyde River,CA,2020-08-17 15:24:14,70.47,-68.59,42.8,100,75,21.92
53,Dikson,RU,2020-08-17 15:24:14,73.51,80.55,51.37,95,40,6.46
54,Kodiak,US,2020-08-17 15:24:14,57.79,-152.41,51.8,87,90,3.36
55,Namatanai,PG,2020-08-17 15:23:04,-3.67,152.43,78.85,84,9,10.69
56,Airai,TL,2020-08-17 15:24:15,-8.93,125.41,56.23,89,0,2.82
57,Cherskiy,RU,2020-08-17 15:24:15,68.75,161.3,42.24,87,100,12.8
58,Esperance,AU,2020-08-17 15:24:15,-33.87,121.9,46.4,81,44,19.46
59,Paamiut,GL,2020-08-17 15:24:16,61.99,-49.67,49.01,56,0,11.56
60,Tasiilaq,GL,2020-08-17 15:24:16,65.61,-37.64,48.2,100,75,3.36
61,Atikokan,CA,2020-08-17 15:24:16,48.76,-91.62,62.98,58,54,8.1
62,Carberry,CA,2020-08-17 15:24:16,49.87,-99.36,69.8,64,20,5.48
63,Dilla,ET,2020-08-17 15:24:16,6.41,38.31,69.78,80,94,2.08
64,Bluff,NZ,2020-08-17 15:24:17,-46.6,168.33,37.0,96,82,3.0
65,Talnakh,RU,2020-08-17 15:24:17,69.49,88.4,60.8,59,0,4.47
66,Nyrob,RU,2020-08-17 15:24:17,60.73,56.72,50.4,97,100,5.64
67,Malanje,AO,2020-08-17 15:24:17,-9.54,16.34,82.4,78,75,8.05
68,Rikitea,PF,2020-08-17 15:24:17,-23.12,-134.97,70.68,78,13,12.12
69,Margate,GB,2020-08-17 15:24:18,51.38,1.39,75.0,63,11,1.01
70,Port Alfred,ZA,2020-08-17 15:24:18,-33.59,26.89,62.24,54,96,18.9
71,Chokurdakh,RU,2020-08-17 15:24:18,70.63,147.92,39.9,89,100,12.08
72,Bichena,ET,2020-08-17 15:24:18,10.45,38.2,62.11,92,99,1.5
73,Carnarvon,AU,2020-08-17 15:24:18,-24.87,113.63,55.4,93,75,5.82
74,Payo,ID,2020-08-17 15:24:19,-3.75,103.64,73.69,94,88,2.93
75,Skibbereen,IE,2020-08-17 15:24:19,51.55,-9.27,62.6,93,75,12.75
76,Broome,US,2020-08-17 15:24:19,42.25,-75.83,72.0,77,75,4.7
77,Kloulklubed,PW,2020-08-17 15:24:19,7.04,134.26,80.6,83,90,17.22
